Id,Edit status,Owner,Group type,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Article Title,Content Type,Keywords,Included in phase 1?,Included in phase 2,Help docs scope (needs further discussion),Changes to existing doc (if applicable),Document change type,Existing content link (if applicable),Content dimensions,Group description (if applicable),Doc description (if applicable),User research validation,Primary targetted personas
512,Third review,Robert Nicolo,Main content,Learn,Understand OAuth and OpenID Connect,OAuth and OIDC Explained,Flows (grant types),Authorization code flow with PKCE,,Authorization code flow with PKCE,Conceptual overview,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers",,New doc with new content but also pulling from existing content,"Pull from below existing content:
- Implement authorization by grant type (Authorization with PKCE code dimension): https://developer.okta.com/docs/guides/implement-grant-type/authcodepkce/main/",No doc dimension,,,,"New IAM Developers,Developers new to Okta"
511,Third review,Robert Nicolo,Main content,Learn,Understand OAuth and OpenID Connect,OAuth and OIDC Explained,Flows (grant types),Client credentials flow,,Client credentials flow,Conceptual overview,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers",,New doc with new content but also pulling from existing content,"Pull from below existing content:
- Implement authorization by grant type (Client credential flow dimension):https://developer.okta.com/docs/guides/implement-grant-type/clientcreds/main/",No doc dimension,,,,"New IAM Developers,Developers new to Okta"
515,Third review,Robert Nicolo,Main content,Learn,Understand OAuth and OpenID Connect,OAuth and OIDC Explained,Flows (grant types),CIBA flow,,Client Initiated Backchannel Authentication Flow (CIBA) flow,Conceptual overview,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers",,New doc with new content but also pulling from existing content,"Pull from below existing content:
- Transactional verification using CIBA: https://developer.okta.com/docs/guides/configure-ciba/main/",No doc dimension,,,,"New IAM Developers,Developers new to Okta"
457,Third review,Robert Nicolo,Main content,Learn,Understand OAuth and OpenID Connect,OAuth and OIDC Explained,Flows (grant types),Interaction code flow extension,,Interaction code grant type extension,Conceptual overview,,"""Yes, for phase 1 existing content can be minimally updated.""",TBD,"No, targetted towards developers",Review this doc and make it consistent with other docs in this section.,Existing doc: changes needed,- Interaction Code grant type: https://developer.okta.com/docs/concepts/interaction-code/,No doc dimension,,Overview of the interaction code grant type.  ,,"New IAM Developers,Developers new to Okta"
161,Third review,Robert Nicolo,Main content,Learn,Understand OAuth and OpenID Connect,OAuth and OIDC Explained,Authorization servers,,,Authorization servers,Conceptual overview,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,- Authorization servers: https://developer.okta.com/docs/concepts/auth-servers/,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
167,Third review,Robert Nicolo,Main content,Learn,Understand OAuth and OpenID Connect,OAuth and OIDC Explained,"Access, Id,and refresh tokens",,,"Access, Id,and refresh tokens",Conceptual overview,,"""Yes, since it's a new doc pulling from existing content""",TBD,"No, targetted towards developers",,New doc with new content but also pulling from existing content,"Some content for the new doc originating from:
- Refresh access tokens: https://developer.okta.com/docs/guides/refresh-tokens/main/
- Possible Access and ID token content is in other docs as well",No doc dimension,,"Overview of Access, Id and refresh tokens.","- Group results showed authorization server is a ""no consensus"" term, which may indicate term confusion and/or differing interpretations by respondents.","New IAM Developers,Developers new to Okta"
230,Third review,Robert Nicolo,Main content,Learn,Understand OAuth and OpenID Connect,OAuth and OIDC Explained,JWTS explained,,,JSON web tokens explained,Conceptual overview,,"""No, new content can be created at later phase.""",TBD,"No, targetted towards developers",,New doc - new content,,No doc dimension,,Overview of JSON web tokens.,"- External Oktane 2023 - MatchIt:  21% of respondents got JWTs incorrect in the MatchIt exercise.
- External Oktane 2023 - GroupIt: 
    - 9.3% were unable to categorize JSON web token
    - Respondents placed JSON web tokens under the broad APIS and SDKs group at 48.8% which was somewhat of a ""catch-all"" group. Placing topics under this group may indicate lack of confidence of what the term meant.","New IAM Developers,Developers new to Okta"
157,Third review,Robert Nicolo,Main content,Learn,Understand SAML,,,,,Understand SAML,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,This section organizes existing and new SAML content.,,,"New IAM Developers,Developers new to Okta"
479,Third review,Robert Nicolo,Main content,Learn,Understand SAML,Overview,,,,SAML Overview,Conceptual overview,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",Update the flow charts away from Plant UML to use the Figma design.,Existing doc: changes needed,- SAML: https://developer.okta.com/docs/concepts/saml/,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
516,Third review,Robert Nicolo,Main content,Learn,Understand SAML,Service provider Initiated flow,,,,Service Provider Initiated Flow,Conceptual overview,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","Title change to Service provider initiated flow. There are two types of flows and this doc describes the SP version. For details on the other flow see: https://workos.com/blog/sp-initiated-sso-vs-idp-authentication
",Existing doc: changes needed,'- Implement authorization by grant type (SAML 2.0 Assertion): https://developer.okta.com/docs/guides/implement-grant-type/saml2assert/main/,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
478,Third review,Robert Nicolo,Main content,Learn,Understand SAML,FAQ,,,,SAML FAQ,FAQ,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,"- SAML technical questions: https://developer.okta.com/docs/concepts/saml/faqs/
",No doc dimension,,,,"New IAM Developers,Developers new to Okta"
144,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,,,,,Master Okta's Products,Guide Hub,,"""Yes, for phase 1 this guide hub can be a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,This section gives new-to-IAM or new-to-Okta developers a high-level overview of Okta's products to help them be successful in building solutions with Okta. ,,See Learn (Id 1),"New IAM Developers,Developers new to Okta"
468,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Overview of the Okta Identity Engine,,,,Overview of the Okta Identity Engine,Conceptual overview,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, existing dev doc content targetted toward developers","'- Article title change
- After reading this doc it is rather outdated. We should update this doc and mention Okta's latest offerings (OIG, PAM, etc)
- Also even calling it Identity Engine seems rather dated. Consider limiting ""Identity Engine"" and discuss with teammates",Existing doc: changes needed,- Okta Identity Engine overview: https://developer.okta.com/docs/concepts/oie-intro/,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
345,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Single sign-on (SSO),,,,Single sign-on (SSO),Conceptual overview,,"""No, new content can be created at later phase.""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",,New doc - new content,,No doc dimension,,"Answers ""What is SSO?"", how it differs from a basic sign in,  and ""How Okta supports it""","- Developers with low IAM experience rate the docs low. SSO is a basic term that not be well understood by new developers. Based on group-it results, SSO may be a misunderstood term:
    - 35% of participants in the matchit game did not correctly define SSO.
    - There was no a consistent grouping ""Single Sign-on"" which may indicate ambiguity over the term's meaning. ","New IAM Developers,Developers new to Okta"
153,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,The Okta org,,,,The Okta org,Explanation,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",Doc needs a thorough review and  possibly updated to include new org features.,Existing doc: changes needed,"- Okta organizations:https://developer.okta.com/docs/concepts/okta-organizations/
",No doc dimension,,,- Internal workshop session: Session 1 - Team 2 chose the Okta Org group,"New IAM Developers,Developers new to Okta"
466,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,The Okta org,Org object model,,,Org object model,Conceptual overview,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.","- Update doc to include new features of an org and important missing attributes including:
    - Users and groups
    - Policies
",Existing doc: changes needed,- Okta Data Model: https://developer.okta.com/docs/concepts/okta-data-model/,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
469,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,The Okta org,Policies,,,Policies,Explanation,,"""Yes, it's existing content requiring little to no change""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",,Existing doc: no changes identified,- What are policies: https://developer.okta.com/docs/concepts/policies/,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
471,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,The Okta org,Okta Universal Directory (UD),,,Okta Universal Directory (UD),Conceptual overview,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.","'- Title change
- Add summary content (and links) on how UD integrates with Hub and spoke 
- Add summary content (and links) on how UD can be synced between other domains/systems/AD, etc",Existing doc: changes needed,- User profiles: https://developer.okta.com/docs/concepts/user-profiles/,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
289,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Find your Okta Domain,,,,Find your Okta Domain,How-to ,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers","- Add reasons why you need to know or use this ""Okta domain""
- ",Existing doc: changes needed,"- Find your Okta domain: https://developer.okta.com/docs/guides/find-your-domain/main/
",No doc dimension,,,,"New IAM Developers,Developers new to Okta"
290,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Find your application credentials,,,,Find your application credentials,How-to ,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.","- Add reasons why you need to know or use the ""Application credentials""",Existing doc: changes needed,- Find your application credentials: https://developer.okta.com/docs/guides/find-your-app-credentials/-/main/,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
152,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Admin console,,,,Admin console,Explanation,,"""No, new content can be created at later phase.""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",,New doc - new content,,No doc dimension,,Summary overview of the Admin console. I did not find this document on help.okta.com. We could also place this doc in help.okta.com and make this doc an summary redirect doc.,,"New IAM Developers,Developers new to Okta"
658,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Global session and authentication policies,,,,Global session and authentication policies,Explanation,,"""Yes, since it's a new doc pulling from existing content""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",,New doc with new content but also pulling from existing content,"First section in Configure a global session policy and authentication policies: https://developer.okta.com/docs/guides/configure-signon-policy/main/
",No doc dimension,,,,"New IAM Developers,Developers new to Okta"
143,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Overview of Okta APIs,,,,Overview of Okta APIs,Explanation,,"""No, new content can be created at later phase.""",TBD,"No, targetted towards developers",,New doc - new content,,No doc dimension,,,"- At the Oktane MatchIt game, 35.5% of respondents could not define Okta APIs.
- In the Oktane GroupIt game, the topics placed under the APIs and SDKs group represented were very broad in scope.  This broadness may indicate a lack of clarity of the meaning of API and SDK.","New IAM Developers,Developers new to Okta"
166,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Overview of Okta SDKs,,,,Overview of Okta SDKs,Explanation,,"""Yes, since it's a new doc pulling from existing content""",TBD,"No, targetted towards developers",,New doc with new content but also pulling from existing content,"- Org setup: https://developer.okta.com/docs/guides/oie-embedded-common-org-setup/android/main/ - SDK overview section and diagrams
- Auth JS Fundamentals: https://developer.okta.com/docs/guides/auth-js/main/ - ""About the Okta Auth JavaScript SDK"" section",No doc dimension,,,"- In the Oktane GroupIt game, the topics placed under the APIs and SDKs group represented were very broad in scope.  This broadness may indicate a lack of clarity of the meaning of API and SDK","New IAM Developers,Developers new to Okta"
169,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Overview of Sign-in Widget,,,,Overview of Sign-in Widget,Explanation,,"""No, new content can be created at later phase.""",TBD,"No, targetted towards developers",,New doc - new content,,No doc dimension,,,"- In the Oktane GroupIt game, the Embedded Sign-in Wdiget was placed in a significant amount of groups, which may indicate disagreement over the meaning.","New IAM Developers,Developers new to Okta"
158,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Tools for developers,,,,Tools for developers,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
292,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Tools for developers,Test SAML app with SAML Tracer,,,Test SAML app with SAML Tracer,How-to: developer focused,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,- Test SAML app implementation with SAML Tracer: https://developer.okta.com/docs/guides/saml-tracer/main/,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
194,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Tools for developers,Testing sign-in with Postman,,,Testing sign-in with Postman,How-to: developer focused,,"""No, new content can be created at later phase.""",TBD,"No, targetted towards developers",,New doc - new content,,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
103,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,Tools for developers,Test the Okta APIs with Postman,,,Test the Okta APIs with Postman,How-to: developer focused,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,https://developer.okta.com/docs/reference/rest/,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
640,Third review,Dan Maharry,Main content,Learn,Master Okta's Products,Tools for developers,Postman Collections,,,Using the Postman collections,How-to: developer focused,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",The most up to date version of this is a link to the set of collections on postman.com. This seems to be the best idea and to mark as deletable the  page maintained on dev.okta.com,Existing doc: no changes identified,https://www.postman.com/okta-eng/workspace/okta-public-api-collections/overview,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
357,Third review,Robert Nicolo,Main content,Learn,Master Okta's Products,"Workflows, hooks, and SCIM",,,,"Differences between Workflows, hooks, and SCIM",Explanation,,"""No, new content can be created at later phase.""",TBD,"No, targetted towards developers",,New doc - new content,,No doc dimension,,,"- In the OIN internal workshop, for the question ""What do developers need to know about the OIN?"" an answer was ""How are workflows, hooks, etc all related?
- In the Oktane GroupIt game, inline hooks, event hooks, and workflow connector builders were all placed in similar groups.
- Based on the two above points, there is evidence we may need to contrast each of these technologies and describe when to use one over the other.","New IAM Developers,Developers new to Okta"
160,Third review,Robert Nicolo,Main content,Learn,Best practices,,,,,Best practices,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, existing dev doc content targetted toward developers",,New doc with new content but also pulling from existing content,,No doc dimension,All non-OIN related best practices,,"- In the Oktane AnswerIt game, respondents answered what they would change about dev docs with more examples, best practices, templates

- Although it was for OIN related topics, respondents also answered they were looking for best practice docs
","New IAM Developers,Developers new to Okta"
165,Third review,Robert Nicolo,Main content,Learn,Best practices,Passwordless,,,,Implementing passwordless,How-to ,,"""Yes, since it's a new doc pulling from existing content""",TBD,"No, targetted towards developers",,New doc with new content but also pulling from existing content,"- Best practices for password optional: https://developer.okta.com/docs/guides/pwd-optional-best-practices/nodeexpress/main/
",No doc dimension,,,,"New IAM Developers,Developers new to Okta"
11,Third review,Robert Nicolo,Main content,Learn,Build a full solution ,,,,,Build a full solution ,Summary redirect,,"""Yes, since it's a short summary redirect""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,Brief summary and redirect to top build page,,,"New IAM Developers,Developers new to Okta"
480,Third review,Robert Nicolo,Main content,Plan,,,,,,Plan,Guide Hub,,"""Yes, phase 1 version can be a very simple guide hub.""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,"The scope of this group includes:

- High-level content focused on why readers need to know as they plan their IAM solution. This content includes:
    - Available access control strategies
    - Available authentication methods (MFA, biometrics, etc)
    - Policies
- Considerations when designing your IAM solution including:
    - Availability
    - Reliability
    - Performance
    - etc
- Planning for specific use cases including
    - Designing an IAM strategy for government entities
    - etc",,"- The content currently under ""Plan"" contains a series of documents useful for planning an overall IAM strategy.
- Related to ""Planning""  respondents in the Oktane answerit game answered what they would change about dev docs with:
    - More expertise in configuration for government entities
    - Integration with disconnected systems
    - More examples, best practices, templates
    - Make use cases as real-world as possible","WIC App Developer,Experienced IAM developer"
484,Third review,Robert Nicolo,Main content,Plan,Plan your IAM solution,,,,,Plan your IAM solution,Explanation,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.","- Remove IAM overview content and place it the IAM overview doc. Keep this doc focused on planning on a particular IAM solution.
- CIAM content needs to be removed.",Existing doc: changes needed,'- Identity and Access Management (IAM) overview: https://developer.okta.com/docs/concepts/iam-overview/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
483,Third review,Robert Nicolo,Main content,Plan,Authentication strategies,,,,,Authentication strategies,Explanation,,"""Yes, it's existing content requiring little to no change""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",Title change,Existing doc: changes needed,"- Authentication factors: https://developer.okta.com/docs/concepts/iam-overview-authentication-factors/
",No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
482,Third review,Robert Nicolo,Main content,Plan,Access management considerations,,,,,Access management considerations,Explanation,,"""Yes, it's existing content requiring little to no change""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.","- Title change
- Remove ""Authorization"" wording. I don't see it used as much in the latest Okta docs.",Existing doc: changes needed,- Authorization factors: https://developer.okta.com/docs/concepts/iam-overview-authorization-factors/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
481,Third review,Robert Nicolo,Main content,Plan,Architectural requirements for IAM excellence,,,,,Architectural requirements for IAM excellence,Explanation,,"""Yes, it's existing content requiring little to no change""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",Title change,Existing doc: changes needed,- Architectural factors: https://developer.okta.com/docs/concepts/iam-overview-architectural-factors/,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
647,Third review,Robert Nicolo,Main content,Plan,Design for government entities,,,,,Planning for government entities,Explanation,,"""No, new content can be created at later phase.""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",,New doc - new content,,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
648,Third review,Robert Nicolo,Main content,Plan,Designing for Okta Identity Governance,,,,,Designing for Okta Identity Governance,Explanation,,"""No, new content can be created at later phase.""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",,New doc - new content,,No doc dimension,,,"All ""Other"" solutions (which are solutions other than LCM, Automation, and Authentication), 27% of the ""Other"" solutions customer are building are OIG based.	","WIC App Developer,Experienced IAM developer"
23,Third review,Robert Nicolo,Main content,Build,,,,,,Build,Guide Hub,,"""Yes, phase 1 version can be a very simple guide hub.""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,"This group is oriented toward developers looking for ways to integrate Okta with their applications. The types of docs focus specifically on: 

- Specific use cases
- Best practices

The largest topics are:

- LCM
- OIG
- Authenntication
- Automation","Sets up journeys and provides links to content under this node. See Guide Hub description for more details on the contents of this doc type.
The journey from simplest to most complex is:

1. Run a sign-in sample app
2. Integrate a sign-in with a quickstart
3. Integrate a sign-in redirect (simplest)
4. Integrate a sign-in embedded widget 
5. Integrate a sign-in with embedded SDK
6. Integrate a sign-in with Direct Auth
7. Integrate other solutions including updating users, syncing users across systems, and more",,"WIC App Developer,Experienced IAM developer"
12,Third review,Robert Nicolo,Main content,Build,Get started,,,,,Get started,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,"Defines journeys through the quickstart pages.

See https://docs.google.com/document/d/1P8Jt4kvVCC9zAeDsgd18RYXymuNqnHjJLvcy2VtLuis/edit?pli=1#heading=h.7xq7dm2x4vk6 for more details on the quickstarts.

",,"Why build?

- The dev docs IA is focus on Action and Task oriented words.
- Most or all developers are building (or will in the future)  a solution with Okta

Why the type of docs:
- Respondents are looking for:
    - more use cases
    - simplify the content
    - best practices (OIN)

Why the topics chosen:
- User research indicates the top solutions customers are building are:
    - Authentication
    - LCM
- Automation","New IAM Developers,Experienced IAM developer"
236,Third review,Robert Nicolo,Main content,Build,Get started,Get an Okta account and set up your org,,,,Get an Okta account and set up your org,How-to ,,"""Yes, but we need to investigate whether the changes are feasible for phase 1""",TBD,"No, targetted towards developers","The north star is to have the ""Set up your org"" section for the redirect, embedded widget, and embedded SDKs. ",Existing doc: changes needed,- Set up your Okta org: https://developer.okta.com/docs/guides/oie-embedded-common-org-setup/android/main/,Language,,"- Describes how to set up your Okta org for different scenarios. 
- This doc came from the SDK section. We have to ensure it's SDK agnostic based on it's new IA location.
",,"WIC App Developer,Experienced IAM developer"
401,Third review,Robert Nicolo,Main content,Build,Get started,Test a sign-in with a sample app,,,,Test a sign-in with a sample app,Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,"Organizes all docs that describe how to install and run sample apps. Right now just auth but we can expand this to other types of sample apps in the future.
",,,"WIC App Developer,Experienced IAM developer"
232,Third review,Robert Nicolo,Main content,Build,Get started,Test a sign-in with a sample app,Test simplest sign-in integration,,,Test simplest sign-in integration with a redirect sample app,How-to: developer focused,,"""Yes, but for phase 1 keep changes to existing doc as minimal as possible""",TBD,"No, targetted towards developers",Need to investigate how much of the configuration can we place in id 236.,Existing doc: changes needed,- Use redirect auth with the Identity Engine sample apps: https://developer.okta.com/docs/guides/sampleapp-oie-redirectauth/android/main/,Language,"This doc discusses how to get the sample apps up and running with the redirect solution. I was debating on putting in the Authentication section but felt it made more sense in a IAM or Okta Product Dev Newbie user flow
",,,"WIC App Developer,Experienced IAM developer"
